# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Web Edition
# File: D:\Faculdade\IC_VHDL\Developments\Prewitt_Filter_VHDL\PrewittVHDL_1.0\quartus\decod7seg\decod7seg.csv
# Generated on: Fri Aug 24 09:00:55 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,Vref Group,I/O Standard,Reserved,Group
,Unknown,PIN_G9,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_H10,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_H8,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_E8,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_J9,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_K9,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_D5,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_C4,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_A6,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_B6,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_B5,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_A5,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_V19,6,,3.3-V LVTTL,,
,Unknown,PIN_C26,5,,3.3-V LVTTL,,
,Unknown,PIN_F22,5,,3.3-V LVTTL,,
,Unknown,PIN_J19,5,,3.3-V LVTTL,,
,Unknown,PIN_L26,5,,3.3-V LVTTL,,
,Unknown,PIN_M18,5,,3.3-V LVTTL,,
,Unknown,PIN_N22,5,,3.3-V LVTTL,,
,Unknown,PIN_A16,4,,3.3-V LVTTL,,
,Unknown,PIN_A24,4,,3.3-V LVTTL,,
,Unknown,PIN_C20,4,,3.3-V LVTTL,,
,Unknown,PIN_D22,4,,3.3-V LVTTL,,
,Unknown,PIN_E14,4,,3.3-V LVTTL,,
,Unknown,PIN_E17,4,,3.3-V LVTTL,,
,Unknown,PIN_H18,4,,3.3-V LVTTL,,
,Unknown,PIN_J15,4,,3.3-V LVTTL,,
,Unknown,PIN_A3,3,,3.3-V LVTTL,,
,Unknown,PIN_A11,3,,3.3-V LVTTL,,
,Unknown,PIN_E6,3,,3.3-V LVTTL,,
,Unknown,PIN_E9,3,,3.3-V LVTTL,,
,Unknown,PIN_E13,3,,3.3-V LVTTL,,
,Unknown,PIN_H9,3,,3.3-V LVTTL,,
,Unknown,PIN_J12,3,,3.3-V LVTTL,,
,Unknown,PIN_L12,,,3.3-V LVTTL,,
,Unknown,PIN_L13,,,3.3-V LVTTL,,
,Unknown,PIN_L14,,,3.3-V LVTTL,,
,Unknown,PIN_L15,,,3.3-V LVTTL,,
,Unknown,PIN_M12,,,3.3-V LVTTL,,
,Unknown,PIN_M13,,,3.3-V LVTTL,,
,Unknown,PIN_M14,,,3.3-V LVTTL,,
,Unknown,PIN_M15,,,3.3-V LVTTL,,
,Unknown,PIN_N11,,,3.3-V LVTTL,,
,Unknown,PIN_N12,,,3.3-V LVTTL,,
,Unknown,PIN_N13,,,3.3-V LVTTL,,
,Unknown,PIN_N14,,,3.3-V LVTTL,,
,Unknown,PIN_N15,,,3.3-V LVTTL,,
,Unknown,PIN_N16,,,3.3-V LVTTL,,
,Unknown,PIN_P11,,,3.3-V LVTTL,,
,Unknown,PIN_P12,,,3.3-V LVTTL,,
,Unknown,PIN_P13,,,3.3-V LVTTL,,
,Unknown,PIN_P14,,,3.3-V LVTTL,,
,Unknown,PIN_P15,,,3.3-V LVTTL,,
,Unknown,PIN_P16,,,3.3-V LVTTL,,
,Unknown,PIN_R12,,,3.3-V LVTTL,,
,Unknown,PIN_R13,,,3.3-V LVTTL,,
,Unknown,PIN_R14,,,3.3-V LVTTL,,
,Unknown,PIN_R15,,,3.3-V LVTTL,,
,Unknown,PIN_T12,,,3.3-V LVTTL,,
,Unknown,PIN_T13,,,3.3-V LVTTL,,
,Unknown,PIN_T14,,,3.3-V LVTTL,,
,Unknown,PIN_T15,,,3.3-V LVTTL,,
,Unknown,PIN_A2,,,3.3-V LVTTL,,
,Unknown,PIN_A12,,,3.3-V LVTTL,,
,Unknown,PIN_A15,,,3.3-V LVTTL,,
,Unknown,PIN_A25,,,3.3-V LVTTL,,
,Unknown,PIN_AB7,,,3.3-V LVTTL,,
,Unknown,PIN_AB11,,,3.3-V LVTTL,,
,Unknown,PIN_AB16,,,3.3-V LVTTL,,
,Unknown,PIN_AB19,,,3.3-V LVTTL,,
,Unknown,PIN_AC4,,,3.3-V LVTTL,,
,Unknown,PIN_AD9,,,3.3-V LVTTL,,
,Unknown,PIN_AD14,,,3.3-V LVTTL,,
,Unknown,PIN_AD18,,,3.3-V LVTTL,,
,Unknown,PIN_AE1,,,3.3-V LVTTL,,
,Unknown,PIN_AE26,,,3.3-V LVTTL,,
,Unknown,PIN_AF2,,,3.3-V LVTTL,,
,Unknown,PIN_AF12,,,3.3-V LVTTL,,
,Unknown,PIN_AF15,,,3.3-V LVTTL,,
,Unknown,PIN_AF25,,,3.3-V LVTTL,,
,Unknown,PIN_B1,,,3.3-V LVTTL,,
,Unknown,PIN_B26,,,3.3-V LVTTL,,
,Unknown,PIN_C14,,,3.3-V LVTTL,,
,Unknown,PIN_C18,,,3.3-V LVTTL,,
,Unknown,PIN_D4,,,3.3-V LVTTL,,
,Unknown,PIN_D24,,,3.3-V LVTTL,,
,Unknown,PIN_E7,,,3.3-V LVTTL,,
,Unknown,PIN_E11,,,3.3-V LVTTL,,
,Unknown,PIN_E16,,,3.3-V LVTTL,,
,Unknown,PIN_E19,,,3.3-V LVTTL,,
,Unknown,PIN_H5,,,3.3-V LVTTL,,
,Unknown,PIN_H13,,,3.3-V LVTTL,,
,Unknown,PIN_H14,,,3.3-V LVTTL,,
,Unknown,PIN_H22,,,3.3-V LVTTL,,
,Unknown,PIN_K20,,,3.3-V LVTTL,,
,Unknown,PIN_L5,,,3.3-V LVTTL,,
,Unknown,PIN_L22,,,3.3-V LVTTL,,
,Unknown,PIN_M1,,,3.3-V LVTTL,,
,Unknown,PIN_M26,,,3.3-V LVTTL,,
,Unknown,PIN_N8,,,3.3-V LVTTL,,
,Unknown,PIN_N19,,,3.3-V LVTTL,,
,Unknown,PIN_P8,,,3.3-V LVTTL,,
,Unknown,PIN_P19,,,3.3-V LVTTL,,
,Unknown,PIN_R1,,,3.3-V LVTTL,,
,Unknown,PIN_R21,,,3.3-V LVTTL,,
,Unknown,PIN_R26,,,3.3-V LVTTL,,
,Unknown,PIN_T5,,,3.3-V LVTTL,,
,Unknown,PIN_U8,,,3.3-V LVTTL,,
,Unknown,PIN_U19,,,3.3-V LVTTL,,
,Unknown,PIN_W5,,,3.3-V LVTTL,,
,Unknown,PIN_W13,,,3.3-V LVTTL,,
,Unknown,PIN_W14,,,3.3-V LVTTL,,
,Unknown,PIN_W22,,,3.3-V LVTTL,,
,Unknown,PIN_Y9,,,3.3-V LVTTL,,
,Unknown,PIN_Y17,,,3.3-V LVTTL,,
,Unknown,PIN_AC24,,,3.3-V LVTTL,,
,Unknown,PIN_N21,,,3.3-V LVTTL,,
,Unknown,PIN_Y2,,,3.3-V LVTTL,,
,Unknown,PIN_R7,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_T4,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_U2,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_U1,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_U9,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_U10,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_V1,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_V2,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_T6,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_V4,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_V3,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_W2,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_W1,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_U6,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_U7,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_U5,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_W4,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_W3,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_Y1,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_V5,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_V6,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AA2,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AA1,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_Y3,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_Y4,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_R8,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_T8,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_V7,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_W6,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_B4,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_A4,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_C6,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_C5,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_F8,,,3.3-V LVTTL,,
,Unknown,PIN_G8,,,3.3-V LVTTL,,
,Unknown,PIN_K10,,,3.3-V LVTTL,,
,Unknown,PIN_K11,,,3.3-V LVTTL,,
,Unknown,PIN_K12,,,3.3-V LVTTL,,
,Unknown,PIN_K13,,,3.3-V LVTTL,,
,Unknown,PIN_K14,,,3.3-V LVTTL,,
,Unknown,PIN_K15,,,3.3-V LVTTL,,
,Unknown,PIN_L11,,,3.3-V LVTTL,,
,Unknown,PIN_L16,,,3.3-V LVTTL,,
,Unknown,PIN_L17,,,3.3-V LVTTL,,
,Unknown,PIN_L18,,,3.3-V LVTTL,,
,Unknown,PIN_M10,,,3.3-V LVTTL,,
,Unknown,PIN_M11,,,3.3-V LVTTL,,
,Unknown,PIN_M16,,,3.3-V LVTTL,,
,Unknown,PIN_M17,,,3.3-V LVTTL,,
,Unknown,PIN_N10,,,3.3-V LVTTL,,
,Unknown,PIN_N17,,,3.3-V LVTTL,,
,Unknown,PIN_P10,,,3.3-V LVTTL,,
,Unknown,PIN_R10,,,3.3-V LVTTL,,
,Unknown,PIN_R11,,,3.3-V LVTTL,,
,Unknown,PIN_R16,,,3.3-V LVTTL,,
,Unknown,PIN_T11,,,3.3-V LVTTL,,
,Unknown,PIN_T16,,,3.3-V LVTTL,,
,Unknown,PIN_U11,,,3.3-V LVTTL,,
,Unknown,PIN_U13,,,3.3-V LVTTL,,
,Unknown,PIN_U14,,,3.3-V LVTTL,,
,Unknown,PIN_U15,,,3.3-V LVTTL,,
,Unknown,PIN_U16,,,3.3-V LVTTL,,
,Unknown,PIN_V16,,,3.3-V LVTTL,,
,Unknown,PIN_C1,2,,3.3-V LVTTL,,
,Unknown,PIN_F5,2,,3.3-V LVTTL,,
,Unknown,PIN_L1,2,,3.3-V LVTTL,,
,Unknown,PIN_M9,2,,3.3-V LVTTL,,
,Unknown,PIN_N5,2,,3.3-V LVTTL,,
,Unknown,PIN_AB5,1,,3.3-V LVTTL,,
,Unknown,PIN_AD1,1,,3.3-V LVTTL,,
,Unknown,PIN_P5,1,,3.3-V LVTTL,,
,Unknown,PIN_R9,1,,3.3-V LVTTL,,
,Unknown,PIN_T1,1,,3.3-V LVTTL,,
,Unknown,PIN_V8,1,,3.3-V LVTTL,,
,Unknown,PIN_AB6,8,,3.3-V LVTTL,,
,Unknown,PIN_AB9,8,,3.3-V LVTTL,,
,Unknown,PIN_AB13,8,,3.3-V LVTTL,,
,Unknown,PIN_AF3,8,,3.3-V LVTTL,,
,Unknown,PIN_AF11,8,,3.3-V LVTTL,,
,Unknown,PIN_V12,8,,3.3-V LVTTL,,
,Unknown,PIN_W9,8,,3.3-V LVTTL,,
,Unknown,PIN_AB14,7,,3.3-V LVTTL,,
,Unknown,PIN_AB17,7,,3.3-V LVTTL,,
,Unknown,PIN_AB22,7,,3.3-V LVTTL,,
,Unknown,PIN_AD20,7,,3.3-V LVTTL,,
,Unknown,PIN_AF16,7,,3.3-V LVTTL,,
,Unknown,PIN_AF24,7,,3.3-V LVTTL,,
,Unknown,PIN_V15,7,,3.3-V LVTTL,,
,Unknown,PIN_W18,7,,3.3-V LVTTL,,
,Unknown,PIN_AA22,6,,3.3-V LVTTL,,
,Unknown,PIN_AD26,6,,3.3-V LVTTL,,
,Unknown,PIN_P22,6,,3.3-V LVTTL,,
,Unknown,PIN_R18,6,,3.3-V LVTTL,,
,Unknown,PIN_T26,6,,3.3-V LVTTL,,
,Unknown,PIN_L2,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_L3,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_L10,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_M4,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_M5,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_M3,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_M2,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_M8,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_M6,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_L8,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_M7,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_N6,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_N3,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_N4,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_N2,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_AB2,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AB1,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AA4,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AA3,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AC2,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AC1,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AA5,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_Y5,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AD2,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AD3,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AE2,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AE3,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AB3,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AB4,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AC3,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AA7,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_AA6,1,B1_N1,3.3-V LVTTL,,
,Unknown,PIN_W7,,,3.3-V LVTTL,,
,Unknown,PIN_Y7,,,3.3-V LVTTL,,
,Unknown,PIN_Y6,,,3.3-V LVTTL,,
,Unknown,PIN_AA8,,,3.3-V LVTTL,,
,Unknown,PIN_Y8,,,3.3-V LVTTL,,
,Unknown,PIN_AE4,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AF4,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AC5,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AC6,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AD4,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AD5,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AE5,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AF5,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AD6,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AD7,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_V10,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_V9,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AC7,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_W8,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_W10,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_Y10,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AB8,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AC8,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AD8,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AE6,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AF6,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AA9,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AA10,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AB10,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AA11,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_Y11,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AE7,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AF7,8,B8_N1,3.3-V LVTTL,,
,Unknown,PIN_AE8,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AF8,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_W11,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_W12,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AC9,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AC10,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AE9,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AF9,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AD10,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AC11,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AE10,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_V11,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_U12,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AA12,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_Y12,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AD12,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AE12,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AE13,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AF13,8,B8_N0,3.3-V LVTTL,,
,Unknown,PIN_AE15,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AD15,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AC14,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AA13,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_Y13,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AA14,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_Y14,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_Y15,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AA15,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AB15,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AC15,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AE16,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AD16,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AC16,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_W15,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_W16,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AF17,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AE17,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AC17,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AD17,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AA16,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_Y16,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AF18,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AE18,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AF19,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AE19,7,B7_N1,3.3-V LVTTL,,
,Unknown,PIN_AB18,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AC18,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_W17,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_V17,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AA17,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AA18,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AD19,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AC19,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AF20,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AE20,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AB20,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AC20,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AF21,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AE21,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_Y18,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AA20,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_U17,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_U18,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_V18,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_W19,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AF22,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AE22,7,B7_N0,3.3-V LVTTL,,
