# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Web Edition
# File: D:\Faculdade\IC_VHDL\Developments\Prewitt_Filter_VHDL\PrewittVHDL_1.0\quartus\decod7seg\decod7seg.csv
# Generated on: Fri Aug 24 09:00:55 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,Vref Group,I/O Standard,Reserved,Group
,Unknown,PIN_J8,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_J7,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_N7,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_P3,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_P4,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_R2,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_R3,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_R4,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_R5,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_T10,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_T9,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_P7,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_P6,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_T2,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_T3,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_R6,1,B1_N0,3.3-V LVTTL,,
,Unknown,PIN_J3,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_J4,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_H2,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_H1,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_J2,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_J1,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_K4,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_K3,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_K1,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_K2,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_L4,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_N9,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_P9,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_L7,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_L6,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_L9,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_H6,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_E2,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_E1,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_K6,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_K5,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_G4,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_G3,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_J6,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_K8,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_K7,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_F2,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_F1,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_G1,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_G2,2,B2_N0,3.3-V LVTTL,,
,Unknown,PIN_H3,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_H4,2,B2_N1,3.3-V LVTTL,,
,Unknown,PIN_AC21,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AD21,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AD23,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AD22,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AC22,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AB21,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AF23,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_AE23,7,B7_N0,3.3-V LVTTL,,
,Unknown,PIN_Y19,,,3.3-V LVTTL,,
,Unknown,PIN_AA19,,,3.3-V LVTTL,,
,Unknown,PIN_AA21,,,3.3-V LVTTL,,
,Unknown,PIN_Y20,,,3.3-V LVTTL,,
,Unknown,PIN_W20,,,3.3-V LVTTL,,
,Unknown,PIN_AC23,6,B6_N1,3.3-V LVTTL,,
,Unknown,PIN_AE25,6,B6_N1,3.3-V LVTTL,,
,Unknown,PIN_AE24,6,B6_N1,3.3-V LVTTL,,
,Unknown,PIN_AD25,6,B6_N1,3.3-V LVTTL,,
,Unknown,PIN_AD24,6,B6_N1,3.3-V LVTTL,,
,Unknown,PIN_Y21,6,B6_N1,3.3-V LVTTL,,
,Unknown,PIN_W23,6,B6_N1,3.3-V LVTTL,,
,Unknown,PIN_W25,6,B6_N1,3.3-V LVTTL,,
,Unknown,PIN_W26,6,B6_N1,3.3-V LVTTL,,
,Unknown,PIN_V23,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_V24,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_V25,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_V26,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_U21,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_U20,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_T19,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_R19,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_U24,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_U23,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_U25,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_U26,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_T20,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_T21,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_T17,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_T18,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_T25,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_T24,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_P17,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_R17,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_T23,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_T22,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_R20,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_R22,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_R23,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_P21,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_P20,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_R24,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_R25,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_P24,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_P23,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_P26,6,B6_N0,3.3-V LVTTL,,
,Unknown,PIN_N24,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_N23,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_M25,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_M24,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_M21,5,B5_N1,3.3-V LVTTL,,
